,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
3330,2.3529572667748946,-1.3230701607265694,-0.8402087722393602,0.42475345290671995,-0.24023641507445775,0.7330253639986201,0.033033693144021714,0.5271168595513717,0.29320014087333746,0.06022880783241072,-0.03150070236305365,-0.09944397120005351,-0.1040490512109151
623,1.5941767989149316,-0.9822704098030621,-0.17380558176626473,0.04261185017013015,0.06006603625830491,0.2887183450277799,-0.3317037177566269,0.2307155691412845,-0.18464141936084374,0.14703028044350264,0.036007630986442045,4.320953016540183e-05,-0.0630549155077626
2887,0.22700318061215907,-0.3704941896648392,-0.28111159790253387,-0.17294138835053166,-0.1610883338889416,0.009297025016236872,-0.09704532985900491,-0.004638605966050283,-0.13291552590439942,-0.04753988618587167,-0.03989561004150698,0.06245810486702817,-0.004685930983494378
2891,-0.26090660415315337,-0.3135660203483664,-0.1280129356451977,0.04567793413874984,0.008790333090261353,0.12250924056158338,-0.06685930818214093,0.11953015741490261,-0.05464682085175151,0.037599407389510564,0.0591484113115305,-0.016368902161613914,-0.03793315923707628
255,0.5691999344746355,-0.4302642041639927,-0.48131779485819837,-0.5081361228505864,-0.3339650454308838,-0.12262646906747204,-0.07162630316839934,-0.1776968760537925,-0.38548741549415066,-0.09195218310750915,-0.03519030467264183,0.07942779335628719,0.03813261969608618
239,-0.17693235327340134,0.5650115461778292,0.12166727555784694,0.06118695848367992,-0.2913468956268343,0.20801968708146726,-0.11508535815670377,0.046609263615519224,-0.09453296240228405,-0.011308031041022668,-0.06769550905293831,-0.05094457576375396,0.004508746137833788
180,-0.6307256687847832,0.08074504401084075,-0.03964557087909491,-0.06981301663798178,-0.03864408293330518,-0.12061383033779262,0.012782062872713475,0.008190689787125874,-0.034940018025913545,0.001209953181628893,-6.126333571623728e-05,0.0053036691589717,0.01411496065996719
2069,-0.45024414157552256,0.0009100326747203148,0.3539271474549182,0.18932127276045488,0.2037814560267788,-0.047571461370371965,-0.27766791787157924,0.03148015645369078,0.13268260186691624,0.003446727615890626,-0.047687136811960955,-0.015079133340282136,0.024284040121579926
3539,-0.8390090726230099,-0.06370367711205266,-0.0974266439188604,-0.02965452311607293,-0.022964756526533424,0.0017126497307208286,-0.030855544147739822,0.05703542122154755,-0.04889352723529531,0.031998978398067486,-0.003426532796665182,0.003931874363023916,0.009823806131936357
4767,-1.0487166351061055,0.0617486810102684,-0.047148169081798294,-0.017712758756698005,0.006537237438631103,-0.030795116100540025,0.015150638164602723,0.06579738832059527,0.006682541611973232,0.08888548147758395,0.022197233183804576,0.015524633852900883,-0.051438728257263415
1109,-0.7058275428145465,-0.04065424442850917,0.01972691381994835,-0.042643721181366494,0.02269774915585635,-0.02319492891986571,-0.09113295249034929,0.048771613907943254,-0.023090580162479588,-0.018819487486211733,0.04393493407668226,0.014565275212703612,0.002325024688774839
5754,-1.0661544313180842,0.15687463626117845,0.3360331160686302,0.06485153558748512,0.23149808842787895,-0.16385977370300844,0.0018865915862386338,-0.03698528881928246,0.06400319292712642,-0.025002074671982143,-0.000610869459848465,-0.0038613938946762453,-0.002886148901928436
6742,-1.424488594350827,0.2668431388562406,0.046761922422875864,-0.07617634840304607,0.008496257216022733,-0.13257500045909906,0.038390878700570404,-0.047527219328477435,0.00791079808373974,-0.01725198178115959,-0.018337098068756795,0.006460601358517292,-0.0006835513411522863
3405,-1.4048851486836773,0.20039055346541287,0.06320234365105538,-0.08480787196487598,0.03919724093457209,-0.1602007726066417,0.04929915470404443,-0.0247720172341253,-0.024850463728842368,-0.036521551684342214,-0.00015175916591613183,-0.006345685875652875,-0.015599527815151764
