,Ce,Dy,Er,Eu,Gd,Ho,Lu,Nd,Sm,Th,Tm,U,Yb
5756,52.7,85.7,145.0,1.55,20.0,36.0,66.0,7.59,4.22,340.0,38.0,911.0,291.0
6586,40.3,77.6,147.0,1.81,20.3,30.4,76.8,3.18,5.17,220.0,34.9,220.0,364.0
5563,1699.0,393.0,723.0,0.29,110.3,134.0,406.0,696.5,134.1,1083.0,182.0,7568.0,2378.0
6042,17.0,95.0,168.0,0.2,19.0,34.0,59.0,1.5,3.5,262.0,34.0,506.0,363.0
2011,15.2,70.7,121.3,0.38,14.9,25.6,42.3,1.4,2.94,136.0,25.7,135.0,280.0
1013,29.93,84.36,176.81,14.86,22.07,34.07,60.65,10.91,17.17,46.68,37.51,168.12,472.49
3085,23.8,62.5,103.3,0.51,10.5,21.57,41.3,0.87,1.35,148.0,27.0,350.0,231.0
4996,21.9,80.6,126.9,1.27,13.1,24.8,81.3,1.31,8.9,153.0,37.1,474.0,358.0
2111,23.6,123.5,210.6,0.25,24.6,44.8,60.0,2.1,4.55,124.0,41.6,207.0,407.0
5962,5.8,142.0,213.0,4.1,42.0,50.0,79.0,6.2,9.4,51.0,44.0,101.0,422.0
4118,34.0,55.0,114.0,0.86,12.1,24.0,82.0,11.0,4.0,801.0,29.2,1370.0,314.0
4810,21.57,211.0,282.0,0.53,65.9,67.7,74.7,11.43,18.1,55.71,57.0,106.72,516.0
2221,15.6,101.7,159.1,1.43,29.4,33.5,50.9,4.57,7.55,253.0,31.4,219.0,374.0
5026,13.64,84.0,132.9,1.43,24.73,29.6,49.9,4.21,15.55,102.0,30.67,153.7,249.6
2481,1.33,30.4,11.2,0.26,5.23,5.4,1.11,0.07,0.48,7.71,1.43,796.0,10.1
5046,19.6,134.0,207.0,2.55,31.2,48.3,75.2,2.34,10.9,175.0,45.6,549.0,363.0
5670,5.3,156.6,292.8,0.23,17.59,65.66,81.83,0.3,1.08,34.38,68.01,147.9,598.8
2620,1.61,112.0,129.0,0.54,14.2,34.9,26.3,0.32,1.58,9.17,23.2,496.0,193.0
7030,18.0,107.02,142.36,2.31,29.57,33.95,43.97,3.9,6.59,39.3,30.06,39.3,284.98
1782,30.8,132.6,208.3,1.92,44.9,44.6,77.8,7.66,11.95,229.0,42.7,258.0,460.0
1137,6.11,145.79,206.35,0.71,37.97,36.13,47.16,4.85,8.27,90.89,28.66,146.22,423.97
4342,1.57,116.0,232.0,0.06,10.78,43.7,78.0,0.12,1.28,66.9,46.7,1524.0,515.0
267,19.8,80.3,151.0,0.66,16.7,31.0,65.2,2.16,3.07,352.0,34.5,433.0,331.0
7122,6.46,112.0,220.0,0.22,20.0,46.0,91.0,0.69,2.65,118.0,49.0,537.0,455.0
6584,8.43,23.3,39.9,0.48,6.33,8.91,20.0,0.81,1.35,121.0,9.4,180.0,93.9
5995,15.0,130.0,208.0,0.5,36.0,47.0,71.0,6.3,7.7,281.0,40.0,293.0,408.0
5353,3.58,10.7,30.05,0.21,2.25,4.89,28.8,0.14,0.17,33.3,9.11,483.12,126.3
5332,20.58,98.98,191.93,0.88,23.08,39.92,83.44,2.51,3.09,322.48,42.02,975.09,407.11
2528,1.68,31.7,19.0,0.28,6.25,6.5,3.03,0.22,0.71,9.7,3.17,1234.0,23.5
699,10.59,17.0,40.5,0.18,3.26,7.4,26.7,0.29,0.41,85.0,10.4,196.0,117.0
4052,15.5,69.1,133.0,0.59,14.4,28.0,66.9,4.1,3.6,233.0,29.4,471.0,298.0
5528,12.8,303.0,565.0,0.01,44.4,115.0,190.0,3.8,6.7,866.0,115.0,5413.0,1212.0
980,12.1,62.3,148.0,0.98,10.9,28.2,88.3,0.53,1.51,72.8,36.4,385.0,404.0
3356,79.2,159.8,269.0,2.48,39.7,62.6,112.0,3.04,6.44,376.0,59.2,222.0,522.0
347,19.83,109.17,213.53,1.82,22.6,44.36,171.52,1.18,3.6,43.51,58.82,109.2,749.86
3810,25.3,41.9,99.6,0.93,8.3,17.84,64.5,0.79,1.14,162.0,22.65,463.0,285.7
